Year;Overall;Team;Player;Nat.;Pos;Age;To;Amateur Team;GP;G;A;PTS;+/-;PIM;GP;W;L;T/O;SV%;GAA
2018;1;Buffalo Sabres;Rasmus Dahlin\dahlira01;SE;D;18;2019;Frolunda (Sweden);10;1;3;4;-1;2;;;;;;
2018;2;Carolina Hurricanes;Andrei Svechnikov\svechan01;RU;RW;18;2019;Barrie Colts (OHL);9;2;2;4;-1;10;;;;;;
2018;3;Montreal Canadiens;Jesperi Kotkaniemi\kotkaje01;FI;C;18;2019;Assat (Finland);9;0;4;4;2;6;;;;;;
2018;4;Ottawa Senators;Brady Tkachuk\tkachbr01;US;LW;18;2019;Boston University (H-East);4;3;3;6;5;4;;;;;;
2018;5;Arizona Coyotes;Barrett Hayton\haytoba01;CA;C;18;;Sault Ste. Marie Greyhounds (OHL);;;;;;;;;;;;
2018;6;Detroit Red Wings;Filip Zadina\zadinfi01;CZ;RW;18;;Halifax Mooseheads (QMJHL);;;;;;;;;;;;
2018;7;Vancouver Canucks;Quintin Hughes\hughequ01;US;D;18;;Michigan (Big Ten);;;;;;;;;;;;
2018;8;Chicago Blackhawks;Adam Boqvist\boqviad01;SE;D;18;;Brynas Jr. (Sweden-Jr.);;;;;;;;;;;;
2018;9;New York Rangers;Vitali Kravtsov\kravtvi01;RU;RW;18;;Chelyabinsk (Russia);;;;;;;;;;;;
2018;10;Edmonton Oilers;Evan Bouchard\bouchev01;CA;D;18;2019;London Knights (OHL);7;1;0;1;-5;2;;;;;;
2018;11;New York Islanders;Oliver Wahlstrom\wahlsol01;US;RW;18;;USA U-18 (U.S. NTDP);;;;;;;;;;;;
2018;12;New York Islanders;Noah Dobson\dobsono01;CA;D;18;;Acadie-Bathurst Titan (QMJHL);;;;;;;;;;;;
2018;13;Dallas Stars;Ty Dellandrea\dellaty01;CA;C;18;;Flint Firebirds (OHL);;;;;;;;;;;;
2018;14;Philadelphia Flyers;Joel Farabee\farabjo01;US;LW;18;;USA U-18 (U.S. NTDP);;;;;;;;;;;;
2018;15;Florida Panthers;Grigori Denisenko\denisgr01;RU;LW;18;;Yaroslavl 2 (Russia-Jr.);;;;;;;;;;;;
2018;16;Colorado Avalanche;Martin Kaut\kautma01;CZ;RW;18;;Pardubice (Czech);;;;;;;;;;;;
2018;17;New Jersey Devils;Ty Smith\smithty01;CA;D;18;;Spokane Chiefs (WHL);;;;;;;;;;;;
2018;18;Columbus Blue Jackets;Liam Foudy\foudyli01;CA;C;18;;London Knights (OHL);;;;;;;;;;;;
2018;19;Philadelphia Flyers;Jay O'Brien\obrieja01;US;C;18;;Thayer Academy (High-MA);;;;;;;;;;;;
2018;20;Los Angeles Kings;Rasmus Kupari\kuparra01;FI;C;18;;Karpat (Finland);;;;;;;;;;;;
2018;21;San Jose Sharks;Ryan Merkley\merklry01;CA;D;18;;Guelph Storm (OHL);;;;;;;;;;;;
2018;22;New York Rangers;K'Andre Miller\milleka01;US;D;18;;USA U-18 (U.S. NTDP);;;;;;;;;;;;
2018;23;Anaheim Ducks;Isac Lundestrom\lundeis01;SE;C;18;2019;Lulea (Sweden);9;0;1;1;1;2;;;;;;
2018;24;Minnesota Wild;Filip Johansson\johanfi01;SE;D;18;;Leksand Jr. (Sweden-Jr.);;;;;;;;;;;;
2018;25;St. Louis Blues;Dominik Bokk\bokkdo01;DE;RW;18;;Vaxjo Jr. (Sweden-Jr.);;;;;;;;;;;;
2018;26;Ottawa Senators;Jacob Bernard-Docker\bernaja01;CA;D;18;;Okotoks (AJHL);;;;;;;;;;;;
2018;27;Chicago Blackhawks;Nicolas Beaudin\beaudni01;CA;D;18;;Drummondville Voltigeurs (QMJHL);;;;;;;;;;;;
2018;28;New York Rangers;Nils Lundkvist\lundkni01;SE;D;18;;Lulea (Sweden);;;;;;;;;;;;
2018;29;Toronto Maple Leafs;Rasmus Sandin\sandira01;SE;D;18;;Sault Ste. Marie Greyhounds (OHL);;;;;;;;;;;;
2018;30;Detroit Red Wings;Joseph Veleno\velenjo01;CA;C;18;;Drummondville Voltigeurs (QMJHL);;;;;;;;;;;;
2018;31;Washington Capitals;Alexander Alexeyev\alexeal01;RU;D;18;;Red Deer Rebels (WHL);;;;;;;;;;;;
2018;32;Buffalo Sabres;Mattias Samuelsson\samuema02;US;D;18;;USA U-18 (U.S. NTDP);;;;;;;;;;;;
2018;33;Detroit Red Wings;Jonatan Berggren\berggjo02;SE;RW;18;;Skelleftea Jr. (Sweden-Jr.);;;;;;;;;;;;
2018;34;Florida Panthers;Serron Noel\noelse01;CA;RW;18;;Oshawa Generals (OHL);;;;;;;;;;;;
2018;35;Montreal Canadiens;Jesse Ylonen\yloneje01;US;RW;18;;Espoo (Finland-2);;;;;;;;;;;;
2018;36;Detroit Red Wings;Jared McIsaac\mcisaja01;CA;D;18;;Halifax Mooseheads (QMJHL);;;;;;;;;;;;
2018;37;Vancouver Canucks;Jett Woo\wooje01;CA;D;18;;Moose Jaw Warriors (WHL);;;;;;;;;;;;
2018;38;Montreal Canadiens;Alexander Romanov\romanal01;RU;D;18;;CSKA 2 (Russia-Jr.);;;;;;;;;;;;
2018;39;New York Rangers;Olof Lindbom\lindbol01;SE;G;18;;Djurgarden Jr. (Sweden-Jr.);;;;;;;;;;;;
2018;40;Edmonton Oilers;Ryan McLeod\mcleory01;CA;C;18;;Mississauga Steelheads (OHL);;;;;;;;;;;;
2018;41;New York Islanders;Bode Wilde\wildebo01;CA;D;18;;USA U-18 (U.S. NTDP);;;;;;;;;;;;
2018;42;Carolina Hurricanes;Jack Drury\druryja01;US;C;18;;Waterloo (USHL);;;;;;;;;;;;
2018;43;New York Islanders;Ruslan Iskhakov\iskharu01;RU;C;18;;CSKA 2 (Russia-Jr.);;;;;;;;;;;;
2018;44;Dallas Stars;Albin Eriksson\eriksal01;SE;RW;18;;Skelleftea Jr. (Sweden-Jr.);;;;;;;;;;;;
2018;45;St. Louis Blues;Scott Perunovich\perunsc01;US;D;20;;Minnesota-Duluth (NCHC);;;;;;;;;;;;
2018;46;Washington Capitals;Martin Fehervary\feherma01;SK;D;18;;Oskarshamn (Sweden-2);;;;;;;;;;;;
2018;47;Washington Capitals;Kody Clark\clarkko01;US;RW;18;;Ottawa 67's (OHL);;;;;;;;;;;;
